,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
665,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6245051.0,636151.0,5378944.0,229956.0,3789136.067,1281923.8,438972.9,59847.5,35111.683,3908.05,MD,Philadelphia-Camden-Wilmington,442880.95
666,"Phoenix-Mesa-Chandler, AZ Metro Area",4845832.0,1472948.0,3186248.0,186636.0,2680751.45,294203.883,230818.4,39900.15,111238.017,15972.1,AZ,Phoenix-Mesa-Chandler,246790.5
667,"Picayune, MS Micro Area",56145.0,2284.0,51463.0,2398.0,45225.9,6979.4,374.483,422.9,846.4,11.917,MS,Picayune,386.4
668,"Pierre, SD Micro Area",20745.0,521.0,19196.0,1028.0,17132.617,159.283,170.033,132.117,2610.95,19.0,SD,Pierre,189.033
669,"Pine Bluff, AR Metro Area",87751.0,2289.0,83134.0,2328.0,40839.983,42566.567,796.733,374.75,758.567,125.4,AR,Pine Bluff,922.1329999999999
670,"Pinehurst-Southern Pines, NC Micro Area",99727.0,7365.0,88271.0,4091.0,77236.05,11165.217,1656.8,682.917,1508.217,112.8,NC,Pinehurst-Southern Pines,1769.6
671,"Pittsburg, KS Micro Area",38972.0,2716.0,33928.0,2328.0,33054.2,1214.7,543.283,295.75,943.867,204.2,KS,Pittsburg,747.483
672,"Pittsburgh, PA Metro Area",2370930.0,52920.0,2224936.0,93074.0,1990907.117,214252.15,74838.067,21209.017,15498.117,1305.533,PA,Pittsburgh,76143.59999999999
673,"Pittsfield, MA Metro Area",129026.0,7064.0,116141.0,5821.0,112016.733,5047.4,2385.483,1451.117,1008.367,52.9,MA,Pittsfield,2438.3830000000003
674,"Plainview, TX Micro Area",32522.0,19489.0,12421.0,612.0,10981.017,1463.85,176.85,129.183,243.233,38.867,TX,Plainview,215.71699999999998
675,"Platteville, WI Micro Area",51938.0,1236.0,49576.0,1126.0,48875.167,792.333,484.333,227.333,302.5,20.333,WI,Platteville,504.66600000000005
676,"Plattsburgh, NY Micro Area",79843.0,2856.0,73493.0,3494.0,70934.617,3094.533,1141.45,693.033,1069.617,53.75,NY,Plattsburgh,1195.2
677,"Plymouth, IN Micro Area",46095.0,5251.0,39570.0,1274.0,39532.333,316.167,338.833,286.167,359.5,11.0,IN,Plymouth,349.833
678,"Pocatello, ID Metro Area",94896.0,10617.0,80566.0,3713.0,77038.633,983.3,1578.6,785.567,3494.933,397.967,ID,Pocatello,1976.567
679,"Point Pleasant, WV-OH Micro Area",54673.0,432.0,52485.0,1756.0,52136.5,1049.833,257.667,268.167,509.25,19.583,WV,Point Pleasant,277.25
680,"Ponca City, OK Micro Area",43700.0,3652.0,36313.0,3735.0,32514.283,1114.95,330.117,208.167,5582.45,298.033,OK,Ponca City,628.1500000000001
681,"Ponce, PR Metro Area",224142.0,222554.0,1476.0,112.0,1107.5,178.0,127.0,149.5,25.0,1.0,0,Ponce,128.0
682,"Pontiac, IL Micro Area",35815.0,1859.0,32898.0,1058.0,32025.0,1225.5,217.917,194.25,278.667,14.667,IL,Pontiac,232.584
683,"Poplar Bluff, MO Micro Area",52809.0,1028.0,48812.0,2969.0,47065.117,2919.45,416.783,358.75,997.283,23.617,MO,Poplar Bluff,440.40000000000003
684,"Portales, NM Micro Area",19191.0,8397.0,10239.0,555.0,9579.367,508.783,219.417,178.533,273.45,34.45,NM,Portales,253.86700000000002
685,"Port Angeles, WA Micro Area",77155.0,4732.0,67445.0,4978.0,63479.183,862.433,1678.767,960.117,5190.017,252.483,WA,Port Angeles,1931.25
686,"Portland-South Portland, ME Metro Area",551740.0,12757.0,517604.0,21379.0,500313.533,16129.283,12054.033,4913.5,5233.867,338.783,ME,Portland-South Portland,12392.815999999999
687,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2512859.0,332155.0,2019779.0,160925.0,1800850.6,88307.733,203052.1,29375.417,38728.783,20389.367,OR,Portland-Vancouver-Hillsboro,223441.467
688,"Port Lavaca, TX Micro Area",20106.0,9858.0,9937.0,311.0,8521.667,385.0,1126.167,100.167,106.833,8.167,TX,Port Lavaca,1134.3339999999998
689,"Port St. Lucie, FL Metro Area",487657.0,90507.0,379511.0,17639.0,303460.483,75076.9,9303.3,5724.817,3182.733,401.767,FL,Port St. Lucie,9705.067
690,"Portsmouth, OH Micro Area",74008.0,1052.0,70316.0,2640.0,68816.783,2393.0,344.283,399.533,975.783,26.617,OH,Portsmouth,370.90000000000003
691,"Pottsville, PA Micro Area",143049.0,8064.0,131510.0,3475.0,127842.533,4575.2,937.283,760.7,819.533,49.75,PA,Pottsville,987.033
692,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",697221.0,131968.0,539390.0,25863.0,441590.367,76535.5,24810.767,17489.017,4408.6,418.75,NY,Poughkeepsie-Newburgh-Middletown,25229.517
693,"Prescott Valley-Prescott, AZ Metro Area",236209.0,34390.0,192172.0,9647.0,187916.1,2015.683,3551.333,2392.933,5462.517,480.433,AZ,Prescott Valley-Prescott,4031.766
694,"Price, UT Micro Area",20412.0,2677.0,17044.0,691.0,16976.25,89.25,114.667,183.0,335.417,36.417,UT,Price,151.084
695,"Prineville, OR Micro Area",24738.0,1803.0,21453.0,1482.0,21587.683,122.1,176.85,372.667,632.35,43.35,OR,Prineville,220.2
696,"Providence-Warwick, RI-MA Metro Area",1676579.0,236852.0,1355230.0,84497.0,1228558.867,98529.65,57624.417,41479.55,12459.533,1074.983,RI,Providence-Warwick,58699.4
697,"Provo-Orem, UT Metro Area",671185.0,89105.0,555140.0,26940.0,541728.967,5927.017,14691.35,4717.883,5448.683,9566.1,UT,Provo-Orem,24257.45
698,"Pueblo, CO Metro Area",168162.0,69921.0,92412.0,5829.0,88266.867,3622.7,1955.367,1675.283,2485.867,234.917,CO,Pueblo,2190.284
699,"Pullman, WA Micro Area",47973.0,4052.0,40999.0,2922.0,36899.467,1442.967,4207.217,464.083,678.467,228.8,WA,Pullman,4436.017
700,"Punta Gorda, FL Metro Area",186847.0,14079.0,166366.0,6402.0,156652.833,9728.167,3009.083,1712.367,1521.917,143.633,FL,Punta Gorda,3152.716
701,"Quincy, IL-MO Micro Area",75769.0,1452.0,71263.0,3054.0,69148.5,3301.25,647.917,497.917,659.0,62.417,IL,Quincy,710.3340000000001
702,"Racine, WI Metro Area",197727.0,27911.0,161502.0,8314.0,139207.067,24413.15,2783.167,1611.65,1690.233,110.733,WI,Racine,2893.9
703,"Raleigh-Cary, NC Metro Area",1413982.0,169603.0,1187918.0,56461.0,848298.117,263822.533,106406.633,12697.017,12031.35,1123.35,NC,Raleigh-Cary,107529.98300000001
704,"Rapid City, SD Metro Area",139074.0,6876.0,123881.0,8317.0,111918.867,2448.117,2309.867,1129.617,14142.167,249.367,SD,Rapid City,2559.2340000000004
705,"Raymondville, TX Micro Area",20164.0,17611.0,2493.0,60.0,1827.6,451.683,167.183,45.917,56.767,3.85,TX,Raymondville,171.033
706,"Reading, PA Metro Area",428849.0,99550.0,317632.0,11667.0,296670.117,20262.783,7156.617,2827.617,2187.867,194.0,PA,Reading,7350.617
707,"Red Bluff, CA Micro Area",65829.0,17938.0,44303.0,3588.0,43059.867,599.2,1204.533,770.917,2090.7,165.783,CA,Red Bluff,1370.3159999999998
708,"Redding, CA Metro Area",182155.0,19730.0,149901.0,12524.0,142894.8,2558.883,6854.217,2162.583,7392.8,561.717,CA,Redding,7415.933999999999
709,"Red Wing, MN Micro Area",47582.0,1797.0,44253.0,1532.0,43254.0,864.5,446.333,375.667,799.333,45.167,MN,Red Wing,491.5
710,"Reno, NV Metro Area",490596.0,122544.0,342486.0,25566.0,302861.867,13917.733,32472.067,4997.85,9538.317,4264.167,NV,Reno,36736.234
711,"Rexburg, ID Micro Area",66301.0,6838.0,57643.0,1820.0,56136.25,842.667,1229.083,421.667,502.333,331.0,ID,Rexburg,1560.083
712,"Richmond, IN Micro Area",66553.0,2495.0,60907.0,3151.0,58186.017,3774.6,828.9,568.45,677.35,22.683,IN,Richmond,851.583
713,"Richmond, VA Metro Area",1314434.0,104488.0,1155226.0,54720.0,750130.8,371218.35,63108.467,11787.217,12473.367,1227.8,VA,Richmond,64336.267
714,"Richmond-Berea, KY Micro Area",106864.0,3195.0,98673.0,4996.0,95244.333,4647.5,1603.0,553.333,1156.833,464.0,KY,Richmond-Berea,2067.0
715,"Rio Grande City-Roma, TX Micro Area",65920.0,64393.0,1408.0,119.0,1219.033,44.25,106.283,131.95,20.033,5.45,TX,Rio Grande City-Roma,111.733
716,"Riverside-San Bernardino-Ontario, CA Metro Area",4599839.0,2373208.0,2073319.0,153312.0,1418054.433,344398.85,367692.733,37481.667,40082.4,18920.917,CA,Riverside-San Bernardino-Ontario,386613.65
717,"Riverton, WY Micro Area",39234.0,2421.0,34898.0,1915.0,27486.35,254.4,286.683,306.35,8432.267,46.95,WY,Riverton,333.633
718,"Roanoke, VA Metro Area",315251.0,15863.0,286199.0,13189.0,243957.3,42212.05,7868.1,2237.483,2932.967,180.1,VA,Roanoke,8048.200000000001
719,"Roanoke Rapids, NC Micro Area",66093.0,1807.0,62468.0,1818.0,26569.417,34919.917,388.833,320.417,2046.333,41.083,NC,Roanoke Rapids,429.91600000000005
720,"Rochelle, IL Micro Area",51788.0,5797.0,44098.0,1893.0,44042.75,759.417,357.167,338.583,478.75,14.333,IL,Rochelle,371.5
721,"Rochester, MN Metro Area",226329.0,11302.0,206654.0,8373.0,187627.8,12391.633,11647.717,1713.883,1496.3,149.667,MN,Rochester,11797.384
722,"Rochester, NY Metro Area",1090135.0,88854.0,956450.0,44831.0,815076.7,128720.75,38979.45,9606.6,8330.1,567.4,NY,Rochester,39546.85
723,"Rockford, IL Metro Area",338798.0,53832.0,269896.0,15070.0,226971.083,42371.917,9689.583,2900.033,2861.967,171.417,IL,Rockford,9861.0
724,"Rockingham, NC Micro Area",42946.0,3072.0,37908.0,1966.0,24458.5,13150.417,408.083,246.583,1585.167,25.25,NC,Rockingham,433.333
725,"Rockport, TX Micro Area",23830.0,6158.0,16772.0,900.0,16250.233,282.4,537.4,191.9,382.667,27.4,TX,Rockport,564.8
726,"Rock Springs, WY Micro Area",42272.0,6957.0,33463.0,1852.0,33268.25,480.333,405.583,418.0,643.25,99.583,WY,Rock Springs,505.16600000000005
727,"Rocky Mount, NC Metro Area",143870.0,10028.0,129976.0,3866.0,65156.3,65092.717,1181.717,797.6,1550.05,63.617,NC,Rocky Mount,1245.334
728,"Rolla, MO Micro Area",44638.0,1259.0,40956.0,2423.0,39122.917,1217.25,1711.5,430.917,863.75,32.667,MO,Rolla,1744.167
729,"Rome, GA Metro Area",98584.0,11466.0,83560.0,3558.0,69407.083,14601.233,1478.65,593.567,987.483,49.983,GA,Rome,1528.633
730,"Roseburg, OR Micro Area",111201.0,6654.0,97470.0,7077.0,96936.083,637.867,1617.417,1427.133,3609.333,319.167,OR,Roseburg,1936.5839999999998
731,"Roswell, NM Micro Area",65157.0,37097.0,26701.0,1359.0,25093.95,1067.367,704.417,432.283,720.783,41.2,NM,Roswell,745.6170000000001
732,"Ruidoso, NM Micro Area",20269.0,6496.0,13119.0,654.0,12648.067,115.083,156.233,210.9,630.4,12.317,NM,Ruidoso,168.55
733,"Russellville, AR Micro Area",83644.0,10619.0,68706.0,4319.0,66848.417,2664.5,1066.417,563.5,1824.917,57.25,AR,Russellville,1123.667
734,"Ruston, LA Micro Area",48396.0,1754.0,45236.0,1406.0,26297.583,18904.0,791.417,204.433,415.917,28.65,LA,Ruston,820.067
735,"Rutland, VT Micro Area",60572.0,1225.0,56374.0,2973.0,56545.5,680.167,588.083,703.417,799.5,30.333,VT,Rutland,618.4159999999999
736,"Sacramento-Roseville-Folsom, CA Metro Area",2397382.0,533221.0,1712767.0,151394.0,1221240.85,178427.017,380477.617,27180.083,30159.033,26676.4,CA,Sacramento-Roseville-Folsom,407154.01700000005
737,"Safford, AZ Micro Area",38533.0,11428.0,26281.0,824.0,20762.833,546.0,227.0,177.333,5342.667,49.167,AZ,Safford,276.16700000000003
738,"Saginaw, MI Metro Area",190124.0,16904.0,165959.0,7261.0,132097.5,35100.75,2703.583,1515.25,1679.833,123.083,MI,Saginaw,2826.666
739,"St. Cloud, MN Metro Area",199671.0,8167.0,185170.0,6334.0,168043.25,16315.25,4192.5,1233.25,1582.667,137.083,MN,St. Cloud,4329.583
740,"St. George, UT Metro Area",180279.0,20482.0,153981.0,5816.0,150190.367,1367.95,2482.533,1189.25,2406.033,2160.867,UT,St. George,4643.4
741,"St. Joseph, MO-KS Metro Area",121467.0,6422.0,109243.0,5802.0,104166.667,6332.75,1460.5,840.333,1716.0,528.75,KS,St. Joseph,1989.25
742,"St. Louis, MO-IL Metro Area",2820253.0,106269.0,2585965.0,128019.0,2042115.983,523469.767,92742.433,24485.983,29197.067,1972.767,IL,St. Louis,94715.20000000001
743,"St. Marys, GA Micro Area",54768.0,3658.0,48121.0,2989.0,38543.1,10064.1,1119.933,522.767,741.433,118.667,GA,St. Marys,1238.6
744,"St. Marys, PA Micro Area",30990.0,294.0,29727.0,969.0,29930.583,149.25,147.333,224.917,221.5,22.417,PA,St. Marys,169.75
745,"Salem, OH Micro Area",101877.0,1752.0,96287.0,3838.0,95321.75,2561.75,469.5,736.667,996.083,39.25,OH,Salem,508.75
746,"Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,OR,Salem,16143.284
747,"Salina, KS Micro Area",60038.0,6786.0,50113.0,3139.0,48258.15,2309.4,1319.9,403.25,889.9,71.4,KS,Salina,1391.3000000000002
748,"Salinas, CA Metro Area",439035.0,265321.0,159594.0,14120.0,126011.633,10455.967,28475.517,3303.483,2844.85,2622.55,CA,Salinas,31098.067
749,"Salisbury, MD-DE Metro Area",418046.0,37037.0,364463.0,16546.0,293749.383,71613.383,8116.683,3335.283,3929.3,264.967,MD,Salisbury,8381.65
750,"Salt Lake City, UT Metro Area",1257936.0,241610.0,967577.0,48749.0,881574.167,26676.917,58798.667,11083.167,12801.85,25391.233,UT,Salt Lake City,84189.9
751,"San Angelo, TX Metro Area",122888.0,47864.0,70990.0,4034.0,66251.95,4507.617,2061.867,736.617,1261.283,204.667,TX,San Angelo,2266.534
752,"San Antonio-New Braunfels, TX Metro Area",2558143.0,1389685.0,1096025.0,72433.0,870415.75,177442.75,81664.117,17079.517,16862.0,4993.867,TX,San Antonio-New Braunfels,86657.984
753,"San Diego-Chula Vista-Carlsbad, CA Metro Area",3298634.0,1119629.0,2011765.0,167240.0,1495065.7,163538.867,441590.85,31786.25,27014.183,20009.15,CA,San Diego-Chula Vista-Carlsbad,461600.0
754,"Sandpoint, ID Micro Area",47110.0,1504.0,43352.0,2254.0,43450.417,172.667,393.25,643.667,869.583,76.417,ID,Sandpoint,469.66700000000003
755,"Sandusky, OH Micro Area",75622.0,3130.0,68553.0,3939.0,62927.85,7606.017,610.917,542.767,784.017,20.433,OH,Sandusky,631.35
756,"Sanford, NC Micro Area",63285.0,13122.0,47900.0,2263.0,37025.667,11174.333,798.917,380.917,708.25,74.917,NC,Sanford,873.8340000000001
757,"San Francisco-Oakland-Berkeley, CA Metro Area",4749008.0,1086206.0,3408982.0,253820.0,1825225.217,351264.05,1363246.0,54396.817,27140.9,41529.017,CA,San Francisco-Oakland-Berkeley,1404775.017
758,"San Germán, PR Metro Area",125100.0,123990.0,1059.0,51.0,828.5,110.667,65.833,94.667,9.0,1.333,0,San Germán,67.166
759,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2000468.0,526598.0,1393768.0,80102.0,610778.15,48447.85,780339.45,16639.333,8577.817,9087.4,CA,San Jose-Sunnyvale-Santa Clara,789426.85
760,"San Juan-Bayamón-Caguas, PR Metro Area",2081265.0,2055711.0,23902.0,1652.0,17138.833,3581.217,2322.633,2098.083,326.2,87.033,0,San Juan-Bayamón-Caguas,2409.6659999999997
761,"San Luis Obispo-Paso Robles, CA Metro Area",282424.0,67921.0,200889.0,13614.0,189865.567,5182.233,12286.317,3175.483,3260.317,733.083,CA,San Luis Obispo-Paso Robles,13019.4
762,"Santa Cruz-Watsonville, CA Metro Area",270861.0,94299.0,163252.0,13310.0,151754.683,3801.433,14640.017,3218.267,2472.75,674.85,CA,Santa Cruz-Watsonville,15314.867
763,"Santa Fe, NM Metro Area",154823.0,74377.0,76230.0,4216.0,69832.333,1502.583,2691.85,1650.767,4618.583,149.883,NM,Santa Fe,2841.7329999999997
764,"Santa Isabel, PR Micro Area",20281.0,20166.0,102.0,13.0,68.5,13.5,14.0,16.0,2.0,1.0,0,Santa Isabel,15.0
765,"Santa Maria-Santa Barbara, CA Metro Area",448229.0,210584.0,221242.0,16403.0,192267.15,7895.233,28666.167,4115.567,3649.483,1051.4,CA,Santa Maria-Santa Barbara,29717.567000000003
766,"Santa Rosa-Petaluma, CA Metro Area",488863.0,141438.0,322826.0,24599.0,297203.15,9093.483,26262.317,5677.417,6673.15,2515.483,CA,Santa Rosa-Petaluma,28777.8
767,"Sault Ste. Marie, MI Micro Area",36785.0,757.0,33048.0,2980.0,25979.783,2718.117,239.533,216.833,6848.617,25.117,MI,Sault Ste. Marie,264.65
768,"Savannah, GA Metro Area",404798.0,30551.0,357666.0,16581.0,226203.467,126407.433,14043.967,3137.15,3733.133,721.85,GA,Savannah,14765.817000000001
769,"Sayre, PA Micro Area",59967.0,873.0,56834.0,2260.0,56814.2,555.533,532.283,482.333,677.95,31.7,PA,Sayre,563.9830000000001
770,"Scottsbluff, NE Micro Area",37893.0,8297.0,28487.0,1109.0,27897.45,318.783,350.283,282.2,702.083,45.2,NE,Scottsbluff,395.483
771,"Scottsboro, AL Micro Area",52579.0,1681.0,47752.0,3146.0,46653.517,1873.267,268.017,256.817,1833.517,12.867,AL,Scottsboro,280.884
772,"Scottsburg, IN Micro Area",24384.0,535.0,23090.0,759.0,23203.5,150.5,122.5,103.0,251.833,17.667,IN,Scottsburg,140.167
773,"Scranton--Wilkes-Barre, PA Metro Area",567559.0,65746.0,484741.0,17072.0,457689.367,24543.033,11941.117,4235.25,3137.533,266.7,PA,Scranton--Wilkes-Barre,12207.817000000001
774,"Searcy, AR Micro Area",76822.0,3499.0,69214.0,4109.0,66345.667,4139.5,776.5,615.667,1385.833,59.833,AR,Searcy,836.333
775,"Seattle-Tacoma-Bellevue, WA Metro Area",4018762.0,450476.0,3276389.0,291897.0,2457599.35,274257.767,673779.05,46837.667,61940.05,53872.117,WA,Seattle-Tacoma-Bellevue,727651.167
776,"Sebastian-Vero Beach, FL Metro Area",159788.0,20832.0,133897.0,5059.0,119794.333,13801.167,2695.167,1460.667,1109.333,95.333,FL,Sebastian-Vero Beach,2790.5
777,"Sebring-Avon Park, FL Metro Area",101235.0,20943.0,77244.0,3048.0,66888.0,10014.25,1764.833,706.017,826.0,92.9,FL,Sebring-Avon Park,1857.7330000000002
778,"Sedalia, MO Micro Area",42980.0,4016.0,36796.0,2168.0,35807.0,1665.667,381.833,338.833,633.0,137.667,MO,Sedalia,519.5
779,"Selinsgrove, PA Micro Area",39736.0,977.0,37893.0,866.0,37407.233,609.15,338.233,167.583,216.233,20.567,PA,Selinsgrove,358.8
780,"Selma, AL Micro Area",38462.0,296.0,37426.0,740.0,10663.9,27088.233,154.0,74.733,162.9,22.233,AL,Selma,176.233
781,"Seneca, SC Micro Area",78607.0,4384.0,70780.0,3443.0,66319.333,5676.083,739.917,405.25,1040.333,42.083,SC,Seneca,782.0
782,"Seneca Falls, NY Micro Area",33814.0,1367.0,31038.0,1409.0,29954.167,1450.0,326.667,271.667,435.0,9.5,NY,Seneca Falls,336.167
783,"Sevierville, TN Micro Area",98380.0,8614.0,86260.0,3506.0,85511.667,1068.333,1287.167,517.167,1333.167,48.5,TN,Sevierville,1335.667
784,"Seymour, IN Micro Area",46428.0,6251.0,38936.0,1241.0,38416.067,608.65,530.15,207.567,403.167,11.4,IN,Seymour,541.55
785,"Shawano, WI Micro Area",45136.0,1312.0,42098.0,1726.0,35706.25,235.0,210.75,189.917,7468.333,13.75,WI,Shawano,224.5
786,"Shawnee, OK Micro Area",72454.0,4288.0,60750.0,7416.0,52610.85,2828.183,667.183,400.833,11574.017,84.933,OK,Shawnee,752.116
787,"Sheboygan, WI Metro Area",118034.0,8662.0,105889.0,3483.0,97503.333,2901.0,7220.0,760.167,924.667,62.833,WI,Sheboygan,7282.833
788,"Shelby, NC Micro Area",99519.0,4039.0,91623.0,3857.0,71918.75,20865.417,1019.75,547.0,1091.0,38.083,NC,Shelby,1057.833
789,"Shelbyville, TN Micro Area",50237.0,7665.0,40679.0,1893.0,37397.0,3924.333,405.833,276.167,541.167,27.5,TN,Shelbyville,433.333
790,"Shelton, WA Micro Area",65726.0,7595.0,53634.0,4497.0,51674.767,953.433,1217.783,846.35,3037.733,400.933,WA,Shelton,1618.716
791,"Sheridan, WY Micro Area",30921.0,1416.0,28266.0,1239.0,28113.5,171.5,257.0,317.0,609.833,36.167,WY,Sheridan,293.16700000000003
792,"Sherman-Denison, TX Metro Area",135543.0,20868.0,106899.0,7776.0,98937.833,8348.333,2251.333,905.833,4119.417,112.25,TX,Sherman-Denison,2363.583
793,"Show Low, AZ Micro Area",106717.0,10887.0,92880.0,2950.0,46072.95,915.45,701.95,454.75,47546.283,138.617,AZ,Show Low,840.567
794,"Shreveport-Bossier City, LA Metro Area",393406.0,19380.0,359024.0,15002.0,202287.633,157125.517,6712.633,2712.017,4781.1,407.1,LA,Shreveport-Bossier City,7119.733
795,"Sidney, OH Micro Area",48230.0,787.0,45654.0,1789.0,44915.833,1219.5,513.583,337.083,396.417,60.583,OH,Sidney,574.1659999999999
796,"Sierra Vista-Douglas, AZ Metro Area",125447.0,42615.0,77122.0,5710.0,70861.233,5076.9,3225.033,1333.367,1753.067,582.4,AZ,Sierra Vista-Douglas,3807.433
797,"Sikeston, MO Micro Area",38059.0,935.0,35403.0,1721.0,31412.933,4743.517,183.85,253.833,520.85,9.017,MO,Sikeston,192.867
798,"Silver City, NM Micro Area",28185.0,13466.0,14008.0,711.0,13451.917,297.083,233.417,281.833,420.25,34.5,NM,Silver City,267.91700000000003
799,"Sioux City, IA-NE-SD Metro Area",149940.0,29014.0,115727.0,5199.0,103640.85,7828.35,4186.433,881.75,3497.85,890.767,IA,Sioux City,5077.2
800,"Sioux Falls, SD Metro Area",276730.0,14137.0,251876.0,10717.0,232610.433,14201.433,6431.85,1689.917,7460.35,199.017,SD,Sioux Falls,6630.867
801,"Snyder, TX Micro Area",16932.0,7139.0,9410.0,383.0,8819.033,653.033,99.533,61.2,153.033,7.167,TX,Snyder,106.7
802,"Somerset, KY Micro Area",65034.0,1877.0,61033.0,2124.0,60628.5,931.5,498.917,321.25,758.083,18.75,KY,Somerset,517.6669999999999
803,"Somerset, PA Micro Area",74129.0,1037.0,71284.0,1808.0,69923.083,1997.083,274.0,418.0,465.083,14.75,PA,Somerset,288.75
804,"Sonora, CA Micro Area",55620.0,7124.0,45220.0,3276.0,43792.95,1133.867,1052.617,735.583,1560.2,220.783,CA,Sonora,1273.3999999999999
805,"South Bend-Mishawaka, IN-MI Metro Area",324501.0,28737.0,279491.0,16273.0,239455.633,41147.683,7988.633,3021.55,3858.767,291.733,IN,South Bend-Mishawaka,8280.366
806,"Spartanburg, SC Metro Area",327997.0,27732.0,288172.0,12093.0,219951.483,66107.4,8974.733,1881.883,3070.983,278.517,SC,Spartanburg,9253.25
807,"Spearfish, SD Micro Area",25768.0,922.0,23814.0,1032.0,23436.25,188.417,247.917,186.333,765.583,21.5,SD,Spearfish,269.41700000000003
808,"Spencer, IA Micro Area",16384.0,704.0,15280.0,400.0,15221.833,140.667,133.333,71.5,109.833,2.833,IA,Spencer,136.166
809,"Spirit Lake, IA Micro Area",17703.0,406.0,16905.0,392.0,16900.0,99.0,106.5,101.667,79.167,10.667,IA,Spirit Lake,117.167
810,"Spokane-Spokane Valley, WA Metro Area",585784.0,37035.0,510477.0,38272.0,488444.3,14443.2,16924.233,6750.167,16863.033,5324.067,WA,Spokane-Spokane Valley,22248.3
811,"Springfield, IL Metro Area",208640.0,5469.0,193260.0,9911.0,166564.667,27941.667,4897.667,1624.917,2008.75,133.333,IL,Springfield,5031.0
812,"Springfield, MA Metro Area",699162.0,136533.0,537103.0,25526.0,479090.3,45319.3,26704.45,6473.167,4553.6,488.183,MA,Springfield,27192.633
813,"Springfield, MO Metro Area",475432.0,19305.0,428426.0,27701.0,418857.75,14088.083,8690.167,3954.65,9783.85,752.5,MO,Springfield,9442.667
814,"Springfield, OH Metro Area",136001.0,5313.0,123709.0,6979.0,113082.667,13683.033,1166.7,991.2,1615.867,148.533,OH,Springfield,1315.233
815,"Starkville, MS Micro Area",61714.0,1423.0,58814.0,1477.0,37577.667,20281.5,1648.583,370.75,393.167,19.333,MS,Starkville,1667.9160000000002
816,"State College, PA Metro Area",158172.0,5651.0,147102.0,5419.0,132172.7,5836.533,12299.7,1223.667,812.367,176.033,PA,State College,12475.733
817,"Statesboro, GA Micro Area",81099.0,4180.0,74240.0,2679.0,50880.333,23339.25,1500.833,422.5,674.333,101.75,GA,Statesboro,1602.583
818,"Staunton, VA Metro Area",125433.0,5761.0,114754.0,4918.0,106729.233,9546.483,1299.9,811.067,1192.567,92.75,VA,Staunton,1392.65
819,"Steamboat Springs, CO Micro Area",24829.0,2200.0,21758.0,871.0,21665.833,191.417,257.667,252.0,207.25,54.833,CO,Steamboat Springs,312.5
820,"Stephenville, TX Micro Area",42545.0,9254.0,31880.0,1411.0,30657.833,1337.75,426.0,236.167,596.833,36.417,TX,Stephenville,462.41700000000003
821,"Sterling, CO Micro Area",21528.0,3511.0,17439.0,578.0,16609.167,796.833,165.083,128.833,294.083,23.0,CO,Sterling,188.083
822,"Sterling, IL Micro Area",55691.0,7131.0,46606.0,1954.0,46293.167,1010.417,386.167,476.583,374.917,18.75,IL,Sterling,404.917
823,"Stevens Point, WI Micro Area",70377.0,2620.0,65767.0,1990.0,63168.25,1109.583,2452.583,403.583,575.333,47.667,WI,Stevens Point,2500.25
824,"Stillwater, OK Micro Area",81646.0,5373.0,68673.0,7600.0,62554.333,3760.75,3077.417,559.417,6211.167,109.917,OK,Stillwater,3187.334
825,"Stockton, CA Metro Area",779233.0,325725.0,419416.0,34092.0,229185.5,61581.75,141906.083,6605.733,7555.833,6673.1,CA,Stockton,148579.18300000002
826,"Storm Lake, IA Micro Area",20823.0,5925.0,14546.0,352.0,11542.667,592.667,1932.5,125.667,82.0,622.5,IA,Storm Lake,2555.0
827,"Sturgis, MI Micro Area",60939.0,5427.0,52763.0,2749.0,52002.417,1755.417,536.667,586.917,605.583,25.0,MI,Sturgis,561.667
828,"Sulphur Springs, TX Micro Area",36787.0,6484.0,28913.0,1390.0,26641.333,2557.75,323.75,201.583,552.583,26.0,TX,Sulphur Springs,349.75
829,"Summerville, GA Micro Area",24965.0,1297.0,22698.0,970.0,20545.1,2605.267,114.517,135.283,263.267,4.567,GA,Summerville,119.084
830,"Sumter, SC Metro Area",136700.0,5209.0,126675.0,4816.0,63802.75,63435.167,2033.583,758.833,1296.35,164.317,SC,Sumter,2197.9
831,"Sunbury, PA Micro Area",91647.0,4151.0,84858.0,2638.0,82952.2,2734.533,580.617,528.117,655.367,45.167,PA,Sunbury,625.784
832,"Susanville, CA Micro Area",32730.0,7531.0,23614.0,1585.0,20217.2,2333.2,655.95,280.95,1322.533,389.167,CA,Susanville,1045.117
833,"Sweetwater, TX Micro Area",14738.0,5354.0,8952.0,432.0,8333.25,691.917,108.25,69.917,176.333,4.333,TX,Sweetwater,112.583
